;id;label;community
679;680;LONDONO, J.;14.0
680;681;DEL PINO ESPINOZA, A.D.;
681;682;PINARGOTE, A.;0.0
682;683;L.;15.0
683;684;DE BELIE, N.;59.0
684;685;DELGADO, E.;16.0
685;686;DURAN VALSERO, J.J.;76.0
686;687;ARREAGA, N.X.;7.0
687;688;(...), CASTELLS;0.0
688;689;(...), ROBERTS;3.0
689;690;SOLORZANO ALCIVAR, N.I.;81.0
690;691;LOPEZ, C.S.;67.0
691;692;LARA, F.;43.0
692;693;ALVAREZ, R.;3.0
693;694;OCHOA, X.;0.0
694;695;A.E., DEBELS;10.0
695;696;DOMINGUEZ, V.A.;52.0
696;697;CHALEN, T.M.;7.0
697;698;PANOTOPOULOS, G.;62.0
698;699;VIVAS CORTEZ, M.;27.0
699;700;SANGA, B.R.;7.0
700;701;MOLINA POVEDA, C.;26.0
701;702;MAZON SUASTEGUI, J.M.;1.0
702;703;RIASCOS, L.;2.0
703;704;MELENA, J.;24.0
704;705;MONTOYA, L.;16.0
705;706;ESPARRAGOZA, I.E.;1.0
706;707;BLOSCHL, G.;0.0
707;708;(...), VILLE;1.0
708;709;LOOR, J.Z.;25.0
709;710;B.X.;8.0
710;711;GAIBOR NATALY, M.;51.0
711;712;SHEN, W.;3.0
712;713;LANDIVAR, J.;96.0
713;714;GARCIA SALGADO, O.;57.0
714;715;R., STERN;1.0
715;716;T., CEVALLOS;2.0
716;717;ORTEGA, A.;2.0
717;718;PLAZA, J.A.;0.0
718;719;FALCONES, S.;68.0
719;720;PANCHANA, F.A.;50.0
720;721;SANTOS, E.;2.0
721;722;(...), WRIGHT;3.0
722;723;OVIEDO ANCHUNDIA, E.;88.0
723;724;F., KAO;35.0
724;725;C., SONNENHOLZNER;1.0
725;726;ESPINOZA ANDALUZ, M.;23.0
